EAR,MAR,TIME
0.3317675610736047,0.03333333333333333,02:13:53.680906
0.3317675610736047,0.03333333333333333,02:13:53.680906
0.3317675610736047,0.03333333333333333,02:13:53.680906
0.1956496436927721,0.16881650340819931,02:13:54.625275
0.3317675610736047,0.03333333333333333,02:13:53.680906
0.1956496436927721,0.16881650340819931,02:13:54.625275
0.248670106248844,0.20786893258332634,02:13:55.072620
0.3317675610736047,0.03333333333333333,02:13:53.680906
0.1956496436927721,0.16881650340819931,02:13:54.625275
0.248670106248844,0.20786893258332634,02:13:55.072620
0.20259291385608816,0.2,02:13:55.510518
0.3317675610736047,0.03333333333333333,02:13:53.680906
0.1956496436927721,0.16881650340819931,02:13:54.625275
0.248670106248844,0.20786893258332634,02:13:55.072620
0.20259291385608816,0.2,02:13:55.510518
0.3035913294807578,0.14714045207910315,02:13:55.950405
0.3317675610736047,0.03333333333333333,02:13:53.680906
0.1956496436927721,0.16881650340819931,02:13:54.625275
0.248670106248844,0.20786893258332634,02:13:55.072620
0.20259291385608816,0.2,02:13:55.510518
0.3035913294807578,0.14714045207910315,02:13:55.950405
0.28860939605179525,0.21573786516665266,02:13:56.381060
0.3317675610736047,0.03333333333333333,02:13:53.680906
0.1956496436927721,0.16881650340819931,02:13:54.625275
0.248670106248844,0.20786893258332634,02:13:55.072620
0.20259291385608816,0.2,02:13:55.510518
0.3035913294807578,0.14714045207910315,02:13:55.950405
0.28860939605179525,0.21573786516665266,02:13:56.381060
0.26613697932432245,0.6741632718009722,02:13:56.813637
0.3317675610736047,0.03333333333333333,02:13:53.680906
0.1956496436927721,0.16881650340819931,02:13:54.625275
0.248670106248844,0.20786893258332634,02:13:55.072620
0.20259291385608816,0.2,02:13:55.510518
0.3035913294807578,0.14714045207910315,02:13:55.950405
0.28860939605179525,0.21573786516665266,02:13:56.381060
0.26613697932432245,0.6741632718009722,02:13:56.813637
0.24581512183823662,0.12761423749153966,02:13:57.261055
0.3317675610736047,0.03333333333333333,02:13:53.680906
0.1956496436927721,0.16881650340819931,02:13:54.625275
